|Urut Nasional|Urut Provinsi|NPSN|Kota/Kab.|Sekolah|Provinsi|Rerata|Tertinggi|Terendah|Std. Deviasi|Jenis
72|473|3|10107194|Kota Banda Aceh|SMAN 10 FAJAR HARAPAN BANDA ACEH|Aceh|530.282|616.123|426.65|424.2|SMA
73|474|81|20321425|Kab. Temanggung|SMK NEGERI 1 TEMANGGUNG|Jawa Tengah|530.136|607.493|442.97|353.4|SMK
74|475|76|20103297|Kota Jakarta Timur|SMAN 42 JAKARTA|DKI Jakarta|530.079|649.57|436.563|396.8|SMA
75|476|90|20220338|Kota Bogor|SMAN 9 BOGOR|Jawa Barat|530.067|640.733|420.033|412.1|SMA
76|477|1|60403474|Kota Sorong|SMAS AVEROS|Papua Barat|530.048|597.793|451.528|374.6|SMA
77|478|91|20229168|Kota Depok|SMAN 6 KOTA DEPOK|Jawa Barat|530.012|613.225|404.625|413.9|SMA
78|479|92|69987474|Kab. Bogor|SMA ISLAM TERPADU NURUL FIKRI BOARDING SCHOOL|Jawa Barat|530.007|593.818|430.125|384.7|SMA
79|480|14|10210873|Kota Medan|SMAN 1 MEDAN|Sumatera Utara|529.984|641.06|414.33|493.6|SMA
80|481|93|20212956|Kab. Kuningan|SMA NEGERI 2 KUNINGAN|Jawa Barat|529.869|636.358|418.23|413.7|SMA
81|482|34|20606848|Kota Tangerang|SMAN 2 TANGERANG|Banten|529.755|629.205|419.003|441.8|SMA
82|483|94|20217786|Kab. Karawang|SMAN 1 KARAWANG|Jawa Barat|529.753|665.243|423.718|449.1|SMA
83|484|5|40301037|Kab. Gowa|SMAN 5 GOWA|Sulawesi Selatan|529.721|626.738|428.97|464.8|SMA
84|485|69|20532246|Kota Surabaya|SMAN 13 SURABAYA|Jawa Timur|529.711|633.805|402.018|391.5|SMA
85|486|82|20323399|Kab. Pekalongan|SMA NEGERI 1 KEDUNGWUNI|Jawa Tengah|529.62|621.118|447.295|343.3|SMA
86|487|77|20103286|Kota Jakarta Timur|SMAN 113 JAKARTA|DKI Jakarta|529.472|628.805|397.348|352.5|SMA
87|488|83|20307713|Kab. Magelang|SMAN 1 MERTOYUDAN|Jawa Tengah|529.431|631.66|447.995|373.|SMA
88|489|70|20500477|Kab. Gresik|SMAN 1 MANYAR|Jawa Timur|529.325|631.478|399.075|404.3|SMA
89|490|95|20219751|Kota Bandung|SMAS ADVENT|Jawa Barat|529.138|578.56|463.868|348.4|SMA
90|491|35|20603359|Kota Tangerang Selatan|SMAN 1 KOTA TANGERANG SELATAN|Banten|529.132|630.468|416.345|440.8|SMA
91|492|71|20501705|Kab. Sidoarjo|SMAN 1 TAMAN|Jawa Timur|529.097|630.913|430.373|390.2|SMA
92|493|72|20519299|Kab. Pasuruan|SMAN 1 PANDAAN|Jawa Timur|529.07|626.155|420.25|400.5|SMA
93|494|9|10497552|Kota Pekanbaru|SMA IT AL ITTIHAD|Riau|529.038|590.168|449.895|372.4|SMA
94|495|73|20505008|Kab. Tuban|SMAN 2 TUBAN|Jawa Timur|528.992|627.423|448.818|322.2|SMA
95|496|84|20302170|Kab. Banyumas|SMAN 1 AJIBARANG|Jawa Tengah|528.973|632.838|429.7|377.8|SMA
96|497|6|40310832|Kota Parepare|SMA NEGERI 5 PAREPARE|Sulawesi Selatan|528.953|622.555|418.7|457.6|SMA
97|498|85|20337604|Kota Semarang|SMK NEGERI 7 SEMARANG|Jawa Tengah|528.891|602.3|450.598|310.7|SMK
98|499|78|20101586|Kota Jakarta Barat|SMAN 85 JAKARTA|DKI Jakarta|528.841|621.515|415.758|356.7|SMA
99|500|79|20177932|Kota Jakarta Selatan|MAN 4 JAKARTA|DKI Jakarta|528.799|650.735|412.698|435.8|MA
0|501|96|20217357|Kab. Purwakarta|SMAN 1 PURWAKARTA|Jawa Barat|528.788|635.755|394.73|449.7|SMA
1|502|80|20100797|Kota Jakarta Utara|SMAN 52 JAKARTA|DKI Jakarta|528.741|632.945|433.358|370.1|SMA
2|503|81|20103219|Kota Jakarta Timur|SMAS FONS VITAE 1 JAKARTA|DKI Jakarta|528.615|639.495|396.04|449.3|SMA
3|504|82|20102217|Kota Jakarta Selatan|SMAN 29 JAKARTA|DKI Jakarta|528.609|639.403|413.143|395.5|SMA
4|505|97|20271471|Kab. Bogor|SMA IT DARUL QUR AN|Jawa Barat|528.577|631.668|437.26|411.1|SMA
5|506|74|69880982|Kab. Nganjuk|SMA BINA INSAN MANDIRI|Jawa Timur|528.569|627.495|462.98|395.3|SMA
6|507|5|30401487|Kota Balikpapan|SMAN 5 BALIKPAPAN SELATAN|Kalimantan Timur|528.392|621.308|434.695|403.2|SMA
7|508|4|10900232|Kab. Bangka|SMAN 1 SUNGAI LIAT|Kepulauan Bangka Belitung|528.325|636.338|428.275|429.4|SMA
8|509|8|10603853|Kota Palembang|SMA NEGERI 06 PALEMBANG|Sumatera Selatan|528.29|637.813|409.913|452.5|SMA
9|510|98|20219249|Kota Bandung|SMAN 23 BANDUNG|Jawa Barat|528.289|637.425|414.765|431.7|SMA
10|511|99|20223043|Kota Bekasi|SMAN 6 BEKASI|Jawa Barat|528.259|609.62|421.448|385.7|SMA
11|512|5|69775683|Kota Bandar Lampung|SMAS IT AR RAIHAN|Lampung|528.222|630.543|444.453|455.8|SMA
12|513|100|20220325|Kota Bogor|SMAS BUDI MULIA|Jawa Barat|528.177|614.78|433.3|373.6|SMA
13|514|83|20103196|Kota Jakarta Timur|SMAS SANTO YOSEPH JAKARTA|DKI Jakarta|528.114|623.975|456.47|424.|SMA
14|515|101|20220329|Kota Bogor|SMAS KESATUAN|Jawa Barat|528.109|620.713|442.778|405.7|SMA
15|516|86|20302171|Kab. Banyumas|SMAN 1 BANYUMAS|Jawa Tengah|528.075|626.335|416.248|372.1|SMA
16|517|75|20533655|Kota Malang|SMAS KATOLIK SANTA MARIA|Jawa Timur|528.049|616.828|460.053|387.3|SMA
17|518|87|20327967|Kota Surakarta|SMAN 2 SURAKARTA|Jawa Tengah|527.99|614.375|431.253|339.5|SMA
18|519|84|20102572|Kota Jakarta Selatan|SMAN 63 JAKARTA|DKI Jakarta|527.979|636.5|422.128|35.|SMA
19|520|88|20339023|Kab. Pati|SMA NEGERI 2 PATI|Jawa Tengah|527.947|646.32|422.97|365.3|SMA
20|521|12|10303499|Kota Padang|SMAN 2 PADANG|Sumatera Barat|527.907|631.665|431.753|400.3|SMA
21|522|36|P2967096|Kota Tangerang Selatan|PKBM KAK SETO|Banten|527.899|637.245|456.675|509.1|PKBM
22|523|10|10404022|Kota Pekanbaru|SMAS SANTA MARIA|Riau|527.896|657.83|425.44|531.6|SMA
23|524|102|60726806|Kota Bogor|SMAIT INSANTAMA PLUS|Jawa Barat|527.804|624.178|425.933|420.5|SMA
24|525|89|20327565|Kota Magelang|SMAN 4 MAGELANG|Jawa Tengah|527.777|604.398|427.398|355.6|SMA
25|526|76|20532138|Kota Surabaya|SMAS KATOLIK SANTA AGNES|Jawa Timur|527.769|615.903|432.988|505.6|SMA
26|527|13|10303500|Kota Padang|SMAN 3 PADANG|Sumatera Barat|527.713|623.238|407.523|402.|SMA
27|528|103|20269747|Kab. Bandung Barat|SMA NURUL FIKRI BOARDING SCHOOL LEMBANG|Jawa Barat|527.633|621.938|412.828|438.|SMA
28|529|77|20533664|Kota Malang|SMAN 2|Jawa Timur|527.602|617.248|439.56|326.6|SMA
29|530|78|69786332|Kota Surabaya|SMA ISLAM TERPADU AL USWAH|Jawa Timur|527.565|637.898|426.4|465.7|SMA
30|531|11|10403985|Kota Pekanbaru|SMA NEGERI 1 PEKANBARU|Riau|527.491|641.458|414.803|459.4|SMA
31|532|104|69822688|Kab. Garut|SMAS ISLAM TERPADU SITUWANGI CIKAJANG|Jawa Barat|527.359|589.903|455.418|344.2|SMA
32|533|105|20252288|Kab. Bekasi|SMAS PRESIDEN (BOARDING SCHOOL)|Jawa Barat|527.194|617.57|428.418|504.5|SMA
33|534|79|20503413|Kab. Jombang|SMA NEGERI 3 JOMBANG|Jawa Timur|527.045|609.635|415.57|363.6|SMA
34|535|12|10496358|Kab. Pelalawan|SMAS PLUS TARUNA ANDALAN|Riau|527.024|611.66|426.045|390.1|SMA
35|536|106|20206151|Kab. Bandung|SMAN 1 BALEENDAH|Jawa Barat|526.994|641.113|410.683|451.1|SMA
36|537|80|20574536|Kab. Sidoarjo|SMA AL MUSLIM|Jawa Timur|526.96|620.99|425.085|413.8|SMA
37|538|90|69823287|Kota Surakarta|SMA AL-ABIDIN BILINGUAL BOARDING SCHOOL|Jawa Tengah|526.933|647.4|410.91|423.3|SMA
38|539|91|20328879|Kota Semarang|SMA NEGERI 11|Jawa Tengah|526.929|621.48|401.96|335.|SMA
39|540|81|20501784|Kab. Sidoarjo|SMAN 1 KRIAN|Jawa Timur|526.926|638.828|417.3|390.7|SMA
40|541|107|20214989|Kab. Cirebon|SMAN 1 SUMBER|Jawa Barat|526.909|628.968|420.468|400.1|SMA
41|542|6|69941830|Kab. Paser|MAN INSAN CENDEKIA PASER|Kalimantan Timur|526.895|599.655|441.675|406.6|MA
42|543|92|20341151|Kab. Magelang|SMAS AL ITISHOM GRABAG|Jawa Tengah|526.807|589.453|435.745|372.1|SMA
43|544|85|20102564|Kota Jakarta Selatan|SMAN 87 JAKARTA|DKI Jakarta|526.788|649.87|430.985|386.1|SMA
44|545|93|20310425|Kab. Sukoharjo|SMAN 1 KARTASURA|Jawa Tengah|526.782|627.998|426.08|348.9|SMA
45|546|86|20103308|Kota Jakarta Timur|SMAN 59 JAKARTA|DKI Jakarta|526.742|625.885|418.83|328.|SMA
46|547|40|20401132|Kab. Sleman|SMAN 2 NGAGLIK|DI Yogyakarta|526.72|614.733|420.988|304.6|SMA
47|548|82|20532231|Kota Surabaya|SMAN 20 SURABAYA|Jawa Timur|526.61|625.633|426.583|362.4|SMA
48|549|83|69948430|Kab. Blitar|SMA IT AL HIKMAH|Jawa Timur|526.5|589.978|425.953|421.7|SMA
49|550|7|30400382|Kab. Berau|SMAN 1 BERAU|Kalimantan Timur|526.475|627.913|426.515|421.8|SMA
50|551|87|20107334|Kota Jakarta Selatan|SMA TARAKANITA 1 JAKARTA|DKI Jakarta|526.446|645.525|447.188|398.8|SMA
51|552|94|20317483|Kab. Kudus|SMAN 1 BAE KUDUS|Jawa Tengah|526.443|612.225|430.52|332.1|SMA
52|553|37|20603267|Kota Tangerang Selatan|SMAN 7 KOTA TANGERANG SELATAN|Banten|526.346|632.58|404.088|407.4|SMA
53|554|88|20102562|Kota Jakarta Selatan|SMAN 97 JAKARTA|DKI Jakarta|526.307|633.433|414.423|349.8|SMA
54|555|89|20103290|Kota Jakarta Timur|SMAN 105 JAKARTA|DKI Jakarta|526.261|617.935|432.305|351.8|SMA
55|556|90|20100224|Kota Jakarta Pusat|SMAN 30 JAKARTA|DKI Jakarta|526.232|634.97|432.333|347.2|SMA
56|557|13|10403792|Kab. Kuantan Singingi|SMAN PINTAR|Riau|526.229|627.258|438.515|407.8|SMA
57|558|4|30105212|Kota Pontianak|SMAN 3 PONTIANAK|Kalimantan Barat|526.199|643.213|396.005|408.8|SMA
58|559|84|20517786|Kab. Malang|SMAS AR ROHMAH DAU|Jawa Timur|526.184|657.27|432.233|444.3|SMA
59|560|91|20101587|Kota Jakarta Barat|SMAN 84 JAKARTA|DKI Jakarta|526.161|627.013|434.68|368.6|SMA
60|561|14|10303904|Kota Payakumbuh|SMAN 1 PAYAKUMBUH|Sumatera Barat|526.081|623.388|416.358|405.7|SMA
61|562|92|20102213|Kota Jakarta Selatan|SMAN 37 JAKARTA|DKI Jakarta|526.03|606.398|434.07|335.5|SMA
62|563|1|69975824|Kota Kendari|MAN INSAN CENDEKIA KOTA KENDARI|Sulawesi Tenggara|525.846|637.303|435.943|451.4|MA
63|564|85|20533803|Kota Malang|SMKS TELKOM SANDHY PUTRA|Jawa Timur|525.809|642.07|452.693|337.3|SMK
64|565|93|20103787|Kota Jakarta Timur|SMKN 26 JAKARTA|DKI Jakarta|525.782|608.585|456.795|352.2|SMK
65|566|108|20224511|Kota Tasikmalaya|SMA NEGERI 1 TASIKMALAYA|Jawa Barat|525.782|658.385|404.615|441.6|SMA
66|567|109|69946479|Kota Bandung|SMA EDU GLOBAL|Jawa Barat|525.707|623.418|406.85|405.7|SMA
67|568|94|20101625|Kota Jakarta Barat|SMAN 16 JAKARTA|DKI Jakarta|525.641|605.105|418.275|333.7|SMA
68|569|95|20330331|Kab. Kebumen|SMKN 1 KARANGANYAR|Jawa Tengah|525.639|593.52|461.393|325.1|SMK
69|570|86|20534125|Kota Madiun|SMAN 1 MADIUN|Jawa Timur|525.532|650.523|417.273|358.9|SMA
70|571|15|10211316|Kota Binjai|SMAS METHODIST|Sumatera Utara|525.492|642.965|412.028|460.7|SMA
71|572|96|20306186|Kab. Purworejo|SMKN 2 PURWOREJO|Jawa Tengah|525.409|605.763|455.285|327.6|SMK
72|573|97|20306180|Kab. Purworejo|SMKN 1 PURWOREJO|Jawa Tengah|525.399|603.573|456.735|348.6|SMK
73|574|41|20401133|Kab. Sleman|SMAN 2 SLEMAN|DI Yogyakarta|525.388|614.343|456.945|299.7|SMA
74|575|110|20218379|Kab. Bekasi|SMAN 2 TAMBUN SELATAN|Jawa Barat|525.347|613.983|391.85|428.6|SMA
75|576|98|20321448|Kab. Temanggung|SMK NEGERI 2 TEMANGGUNG|Jawa Tengah|525.243|603.448|442.535|353.4|SMK
76|577|38|20606847|Kota Tangerang|SMAN 3 TANGERANG|Banten|525.171|675.785|412.28|447.4|SMA
77|578|87|20514347|Kab. Blitar|SMAN 1 SRENGAT|Jawa Timur|525.147|631.7|427.02|379.3|SMA
78|579|9|50101696|Kab. Badung|SMAN 1 KUTA UTARA|Bali|525.072|633.575|431.75|438.4|SMA
79|580|111|20219238|Kota Bandung|SMAN 15 BANDUNG|Jawa Barat|525.056|619.388|416.56|407.8|SMA
80|581|99|20306806|Kab. Wonosobo|SMA NEGERI 2 WONOSOBO|Jawa Tengah|525.01|618.398|446.538|308.2|SMA
81|582|8|69766189|Kota Bontang|SMAS IT DAARUL HIKMAH|Kalimantan Timur|524.941|635.49|456.95|416.2|SMA
82|583|10|50105492|Kab. Buleleng|SMAN BALI MANDARA|Bali|524.842|568.035|446.425|335.5|SMA
83|584|88|20580757|Kota Surabaya|MAS UNGGULAN AMANATUL UMMAH SURABAYA|Jawa Timur|524.804|635.008|422.833|424.1|MA
84|585|6|11002199|Kota Batam|SMAN 5 BATAM|Kepulauan Riau|524.762|621.945|408.185|412.7|SMA
85|586|112|20219324|Kota Bandung|SMAN 9 BANDUNG|Jawa Barat|524.736|627.923|423.383|367.3|SMA
86|587|100|20341603|Kab. Banyumas|SMAS AL IRSYAD AL ISLAMIYYAH|Jawa Tengah|524.708|631.395|422.82|455.8|SMA
87|588|113|20265284|Kab. Karawang|SMAS YOS SUDARSO|Jawa Barat|524.681|613.423|451.11|438.9|SMA
88|589|11|50101705|Kab. Badung|SMAN 1 KUTA|Bali|524.659|647.785|421.358|440.8|SMA
89|590|114|20219239|Kota Bandung|SMAN 14 BANDUNG|Jawa Barat|524.657|634.16|403.885|434.5|SMA
90|591|115|20277119|Kota Bogor|MAN 2 KOTA BOGOR|Jawa Barat|524.648|664.065|425.148|418.6|MA
91|592|42|20401126|Kab. Sleman|SMAN 1 PRAMBANAN|DI Yogyakarta|524.62|617.98|448.358|289.5|SMA
92|593|89|20506254|Kab. Lamongan|SMA NEGERI 2 LAMONGAN|Jawa Timur|524.589|647.47|418.395|432.1|SMA
93|594|90|20534122|Kota Madiun|SMAN 3 TARUNA ANGKASA MADIUN|Jawa Timur|524.516|609.448|409.658|382.8|SMA
94|595|6|10504553|Kota Jambi|SMAN 3 KOTA JAMBI|Jambi|524.469|655.768|429.565|458.7|SMA
95|596|116|20223040|Kota Bekasi|SMAN 9 BEKASI|Jawa Barat|524.318|617.993|392.24|405.1|SMA
96|597|117|20254097|Kab. Bogor|SMAS KETAPANG 3|Jawa Barat|524.293|597.483|456.83|36.|SMA
97|598|118|20229166|Kota Depok|SMAN 4 KOTA DEPOK|Jawa Barat|524.258|631.76|391.585|410.3|SMA
98|599|91|20508480|Kab. Ngawi|SMAN 1 NGAWI|Jawa Timur|524.242|634.18|418.843|370.9|SMA
99|600|101|20321428|Kab. Temanggung|SMA NEGERI 1 PARAKAN|Jawa Tengah|524.209|616.693|448.895|332.|SMA
0|601|102|20323398|Kab. Pekalongan|SMA NEGERI 1 KAJEN|Jawa Tengah|524.192|628.273|427.853|383.1|SMA
1|602|15|10303610|Kota Padang Panjang|SMAN 2 PADANG PANJANG|Sumatera Barat|524.183|604.515|434.57|334.2|SMA
2|603|9|30401787|Kota Bontang|SMAS YAYASAN PENDIDIKAN VIDYA DAHANA PATRA|Kalimantan Timur|524.179|627.308|441.935|388.8|SMA
3|604|92|20533661|Kota Malang|SMAN 10|Jawa Timur|524.16|623.995|419.905|352.6|SMA
4|605|95|20103299|Kota Jakarta Timur|SMAN 89 JAKARTA|DKI Jakarta|524.143|622.553|417.163|376.7|SMA
5|606|7|10504684|Kota Jambi|SMAN 1 KOTA JAMBI|Jambi|524.122|660.698|410.8|439.6|SMA
6|607|96|20102566|Kota Jakarta Selatan|SMAN 82 JAKARTA|DKI Jakarta|524.12|616.543|415.303|373.8|SMA
7|608|39|20613768|Kota Tangerang Selatan|SMAN 6 KOTA TANGERANG SELATAN|Banten|524.093|606.055|398.73|396.5|SMA
8|609|9|10600905|Kab. Muara Enim|SMAN 1 UNGGULAN MUARA ENIM|Sumatera Selatan|523.751|629.355|419.5|412.3|SMA
9|610|97|20103784|Kota Jakarta Timur|SMKN 48 JAKARTA|DKI Jakarta|523.749|618.86|448.775|368.5|SMK
10|611|93|20533638|Kota Malang|SMAS KATOLIK COR YESU|Jawa Timur|523.693|600.35|439.73|365.2|SMA
11|612|98|20102573|Kota Jakarta Selatan|SMAN 60 JAKARTA|DKI Jakarta|523.69|615.245|432.255|361.8|SMA
12|613|103|20331978|Kota Magelang|SMAN 2 MAGELANG|Jawa Tengah|523.623|620.488|429.095|361.|SMA
13|614|94|20540294|Kab. Jombang|SMA DARUL ULUM 2 UNGGULAN BPPT|Jawa Timur|523.596|662.778|419.938|436.|SMA
14|615|119|20224136|Kota Cimahi|SMK NEGERI 1 CIMAHI|Jawa Barat|523.581|629.175|452.823|389.6|SMK
15|616|104|20363060|Kota Surakarta|MAN 1 SURAKARTA|Jawa Tengah|523.567|626.175|421.54|385.9|MA
16|617|95|20504478|Kab. Bojonegoro|SMAN 2 BOJONEGORO|Jawa Timur|523.524|632.958|440.31|332.9|SMA
17|618|105|20320385|Kab. Semarang|SMA NEGERI 1 BRINGIN|Jawa Tengah|523.486|583.925|434.795|372.3|SMA
18|619|106|20363211|Kab. Semarang|MAS AL IRSYAD|Jawa Tengah|523.458|608.465|440.135|455.3|MA
19|620|120|20219306|Kota Bandung|SMAN 6 BANDUNG|Jawa Barat|523.415|612.89|428.883|399.4|SMA
20|621|16|10303905|Kota Payakumbuh|SMAN 2 PAYAKUMBUH|Sumatera Barat|523.347|640.325|420.925|394.3|SMA
21|622|99|20103291|Kota Jakarta Timur|SMAN 104 JAKARTA|DKI Jakarta|523.252|626.385|407.87|350.9|SMA
22|623|121|20231317|Kab. Bogor|SMAS MARSUDIRINI|Jawa Barat|523.104|624.688|419.878|531.5|SMA
23|624|100|20109513|Kota Jakarta Selatan|SMAS HIGH SCOPE|DKI Jakarta|523.1|599.225|446.925|40.|SMA
24|625|122|20219250|Kota Bandung|SMAN 22 BANDUNG|Jawa Barat|523.042|624.005|416.795|449.7|SMA
25|626|17|10302476|Kab. Tanah Datar|SMAN 1 BATU SANGKAR|Sumatera Barat|523.033|618.698|398.63|386.2|SMA
26|627|4|30304468|Kota Banjarmasin|SMAS KRISTEN KANAAN|Kalimantan Selatan|522.953|623.045|431.61|421.9|SMA
27|628|123|20231704|Kota Bekasi|SMAS ANANDA|Jawa Barat|522.946|625.565|448.395|423.7|SMA
28|629|124|20270492|Kota Depok|SMAN 8 DEPOK|Jawa Barat|522.906|610.665|388.29|402.1|SMA
29|630|40|20603270|Kota Tangerang Selatan|SMAN 4 KOTA TANGERANG SELATAN|Banten|522.852|644.155|410.283|412.2|SMA
30|631|101|20102211|Kota Jakarta Selatan|SMAN 43 JAKARTA|DKI Jakarta|522.841|605.993|429.348|339.4|SMA
31|632|43|20400380|Kab. Bantul|SMA NEGERI 2 BANGUNTAPAN|DI Yogyakarta|522.759|606.32|436.715|291.1|SMA
32|633|107|20328939|Kota Semarang|SMA NEGERI 09|Jawa Tengah|522.728|646.17|450.993|308.1|SMA
33|634|102|20103258|Kota Jakarta Timur|SMAN 93 JAKARTA|DKI Jakarta|522.673|626.955|414.973|368.4|SMA
34|635|125|20258092|Kota Bandung|SMAS MUTIARA BUNDA|Jawa Barat|522.649|604.21|440.92|432.5|SMA
35|636|5|30304598|Kota Banjarbaru|SMAN 2 BANJARBARU|Kalimantan Selatan|522.522|617.87|426.495|404.1|SMA
36|637|108|20300727|Kab. Cilacap|SMA NEGERI 3 CILACAP|Jawa Tengah|522.501|604.77|411.82|357.8|SMA
37|638|126|20220273|Kota Bogor|SMKN 1 BOGOR|Jawa Barat|522.499|622.295|438.033|343.2|SMK
38|639|44|60724851|Kab. Sleman|SMAS MUHAMMADIYAH BOARDING SCHOOL (MBS) SLEMAN|DI Yogyakarta|522.466|653.065|418.945|411.|SMA
39|640|96|69965070|Kab. Malang|SMA TAZKIA IIBS|Jawa Timur|522.458|605.855|387.368|435.8|SMA
40|641|97|20532088|Kota Surabaya|SMAS KATOLIK ST CAROLUS|Jawa Timur|522.396|608.158|447.438|408.4|SMA
41|642|45|20402810|Kab. Kulon Progo|SMA NEGERI 1 PENGASIH|DI Yogyakarta|522.347|615.718|446.95|338.6|SMA
42|643|12|69765014|Kota Denpasar|SMAS ALBANNA|Bali|522.297|623.303|422.575|435.4|SMA
43|644|6|30304260|Kota Banjarmasin|SMAN 7 BANJARMASIN|Kalimantan Selatan|522.229|640.758|401.74|454.3|SMA
44|645|6|10805055|Kab. Pringsewu|SMAN 1 PRINGSEWU|Lampung|522.11|637.868|424.133|417.|SMA
45|646|46|20400416|Kab. Bantul|SMK NEGERI 1 BANTUL|DI Yogyakarta|522.028|615.448|438.255|295.6|SMK
46|647|7|11000433|Kota Tanjungpinang|SMAN 1 TANJUNG PINANG|Kepulauan Riau|522.018|634.353|431.04|434.8|SMA
47|648|47|20363269|Kab. Bantul|MAS ISLAMIC CENTRE BIN BAZ|DI Yogyakarta|522.011|628.|446.458|383.6|MA
48|649|103|20100211|Kota Jakarta Pusat|SMAN 4 JAKARTA|DKI Jakarta|521.96|634.643|438.075|350.4|SMA
49|650|13|50103181|Kota Denpasar|SMAS K SANTO YOSEPH DENPASAR|Bali|521.94|621.355|423.34|436.3|SMA
50|651|109|20361201|Kab. Sukoharjo|SMAS INSAN CENDIKIA AL-MUJTABA|Jawa Tengah|521.89|612.115|410.025|440.8|SMA
51|652|5|10900452|Kab. Belitung|SMKN 1 TANJUNGPANDAN|Kepulauan Bangka Belitung|521.836|614.743|459.51|419.1|SMK
52|653|98|20523828|Kab. Jember|SMAN AMBULU|Jawa Timur|521.773|615.975|415.708|379.3|SMA
53|654|110|20327608|Kota Magelang|SMKN 1 MAGELANG|Jawa Tengah|521.723|612.903|433.263|345.|SMK
54|655|14|10400870|Kab. Bengkalis|SMAS CENDANA MANDAU|Riau|521.7|642.865|421.048|475.9|SMA
55|656|111|20309690|Kab. Klaten|SMAN 3 KLATEN|Jawa Tengah|521.688|629.123|420.448|334.5|SMA
56|657|99|20507733|Kab. Madiun|SMAN 1 MEJAYAN|Jawa Timur|521.68|603.613|418.52|328.5|SMA
57|658|112|20320369|Kab. Semarang|SMA NEGERI 1 SURUH|Jawa Tengah|521.657|597.62|440.965|449.|SMA
58|659|113|20330330|Kab. Kebumen|SMKN 1 GOMBONG|Jawa Tengah|521.654|653.383|441.163|326.6|SMK
59|660|16|10206580|Kab. Tapanuli Tengah|SMAN 1 MATAULI PANDAN|Sumatera Utara|521.613|646.58|414.395|449.6|SMA
60|661|127|20200686|Kab. Bogor|SMAS DWI WARNA|Jawa Barat|521.597|639.785|405.243|509.7|SMA
61|662|128|69774555|Kota Bekasi|SMA ISLAM AL-AZHAR 8|Jawa Barat|521.567|618.36|425.655|400.2|SMA
62|663|48|69965701|Kab. Kulon Progo|SMAIT ABU BAKAR BOARDING SCHOOL KULON PROGO|DI Yogyakarta|521.52|624.37|431.47|465.5|SMA
63|664|7|10807070|Kota Bandar Lampung|SMAN 9 BANDAR LAMPUNG|Lampung|521.517|625.785|409.973|443.9|SMA
64|665|129|20200685|Kab. Bogor|SMAN 1 CIAWI BOGOR|Jawa Barat|521.509|623.25|423.225|406.7|SMA
65|666|130|20268809|Kota Depok|SMAS IT NURURRAHMAN|Jawa Barat|521.482|618.588|440.793|369.9|SMA
66|667|2|69978360|Kab. Bengkulu Tengah|MAN INSAN CENDEKIA BENGKULU TENGAH|Bengkulu|521.479|616.413|466.618|387.1|MA
67|668|131|20223032|Kota Bekasi|SMAN 11 BEKASI|Jawa Barat|521.454|628.163|393.885|428.|SMA
68|669|114|20310495|Kab. Sukoharjo|SMAS ASSALAM SUKOHARJO|Jawa Tengah|521.405|638.758|424.188|447.9|SMA
69|670|100|20529954|Kab. Sumenep|SMAN 1 SUMENEP|Jawa Timur|521.359|639.348|429.428|402.4|SMA
70|671|115|20307727|Kab. Magelang|SMAN 1 GRABAG|Jawa Tengah|521.354|624.375|434.038|409.9|SMA
71|672|104|20100780|Kota Jakarta Utara|SMAN 80 JAKARTA|DKI Jakarta|521.349|618.315|393.755|351.2|SMA
72|673|116|20320244|Kab. Semarang|SMA NEGERI 1 TENGARAN|Jawa Tengah|521.325|612.613|428.855|364.6|SMA
73|674|105|20107306|Kota Jakarta Selatan|SMAS ISLAM AL-AZHAR 3 JAKARTA|DKI Jakarta|521.316|624.678|408.218|446.4|SMA
74|675|106|20177948|Kota Jakarta Selatan|MAS PEMBANGUNAN UIN|DKI Jakarta|521.283|615.443|427.698|419.1|MA
75|676|132|20221561|Kota Sukabumi|SMAN 3 SUKABUMI|Jawa Barat|521.275|633.813|416.743|475.1|SMA
76|677|15|10404988|Kota Dumai|SMAN BINSUS KOTA DUMAI|Riau|521.26|632.11|436.978|399.4|SMA
77|678|101|20532218|Kota Surabaya|SMAN 18 SURABAYA|Jawa Timur|521.178|628.498|423.993|367.1|SMA
78|679|49|20402127|Kab. Gunung Kidul|SMAN 2 PLAYEN|DI Yogyakarta|521.135|595.975|444.115|307.7|SMA
79|680|133|20231316|Kab. Bogor|SMAS MARDI WALUYA|Jawa Barat|521.107|620.808|437.798|402.8|SMA
80|681|117|20324218|Kab. Pemalang|SMAN 1 COMAL|Jawa Tengah|521.082|616.678|422.105|362.4|SMA
81|682|7|40314696|Kota Makassar|SMKN 11 MAKASSAR|Sulawesi Selatan|521.081|640.608|444.233|479.6|SMK
82|683|50|20402817|Kab. Kulon Progo|SMK N 2 PENGASIH|DI Yogyakarta|521.069|614.978|465.045|313.|SMK
83|684|41|20606829|Kota Tangerang|SMAN 7 TANGERANG|Banten|521.068|625.565|425.273|410.6|SMA
84|685|102|20535052|Kota Blitar|SMAN 3 BLITAR|Jawa Timur|521.063|628.903|420.64|388.3|SMA
85|686|103|20577343|Kab. Malang|SMAS AR-ROHMAH PUTRI BOARDING SCHOOL DAU|Jawa Timur|521.|640.74|432.87|430.9|SMA
86|687|10|30401786|Kota Bontang|SMAN 1 BONTANG|Kalimantan Timur|520.992|616.175|430.513|354.3|SMA
