|Urut Nasional|Urut Provinsi|NPSN|Kota/Kab.|Sekolah|Provinsi|Rerata|Tertinggi|Terendah|Std. Deviasi|Jenis
13|314|53|20276323|Kab. Bogor|MAS NUURUL QUR AN|Jawa Barat|539.901|610.998|424.035|453.9|MA
14|315|65|20101301|Kota Jakarta Barat|SMAS REGINA PACIS|DKI Jakarta|539.838|615.955|415.748|58.|SMA
15|316|66|20102219|Kota Jakarta Selatan|SMAN 109 JAKARTA|DKI Jakarta|539.798|636.108|425.77|358.|SMA
16|317|54|20258396|Kab. Subang|SMAS IT AS-SYIFA BOARDING SCHOOL|Jawa Barat|539.747|657.24|412.54|462.6|SMA
17|318|29|20407427|Kota Yogyakarta|SMK SMTI|DI Yogyakarta|539.742|620.17|446.528|373.5|SMK
18|319|1|10702412|Kota Bengkulu|SMAN 5 BENGKULU|Bengkulu|539.706|651.17|429.738|431.|SMA
19|320|53|20327970|Kota Surakarta|SMAN 5 SURAKARTA|Jawa Tengah|539.59|627.91|453.823|339.2|SMA
20|321|55|20247152|Kab. Sukabumi|SMAS INSAN CENDEKIA AL KAUSAR|Jawa Barat|539.582|643.488|431.27|459.|SMA
21|322|44|20510150|Kab. Ponorogo|SMAN 1 PONOROGO|Jawa Timur|539.574|634.585|427.715|387.2|SMA
22|323|45|20542500|Kab. Trenggalek|SMA NEGERI 1 TRENGGALEK|Jawa Timur|539.483|647.19|418.995|400.5|SMA
23|324|2|40311951|Kota Makassar|SMAN 17 MAKASSAR|Sulawesi Selatan|539.446|649.02|408.893|509.|SMA
24|325|46|69857710|Kab. Jombang|SMA TRENSAINS TEBUIRENG|Jawa Timur|539.435|632.493|447.5|396.9|SMA
25|326|54|20315697|Kab. Rembang|SMA NEGERI 1 REMBANG|Jawa Tengah|539.341|622.785|424.025|371.2|SMA
26|327|56|20223075|Kota Bekasi|SMAS MARSUDIRINI|Jawa Barat|539.281|628.348|421.678|412.7|SMA
27|328|67|20103257|Kota Jakarta Timur|SMAN 98 JAKARTA|DKI Jakarta|539.235|635.828|420.02|381.6|SMA
28|329|47|20532244|Kota Surabaya|SMAN 11 SURABAYA|Jawa Timur|539.211|638.225|423.625|375.1|SMA
29|330|68|20103310|Kota Jakarta Timur|SMAN 54 JAKARTA|DKI Jakarta|539.176|641.913|424.263|380.6|SMA
30|331|5|69941598|Kab. Siak|MAN INSAN CENDEKIA SIAK|Riau|539.113|637.113|455.14|409.1|MA
31|332|57|20219253|Kota Bandung|SMAN 20 BANDUNG|Jawa Barat|539.047|663.828|413.445|458.8|SMA
32|333|25|20603368|Kota Tangerang Selatan|SMAN 3 KOTA TANGERANG SELATAN|Banten|539.014|641.173|406.74|472.9|SMA
33|334|48|20532263|Kota Surabaya|SMAN 9 SURABAYA|Jawa Timur|538.967|639.723|415.778|387.8|SMA
34|335|30|20400406|Kab. Bantul|SMA NEGERI 1 BANGUNTAPAN|DI Yogyakarta|538.934|625.598|457.755|304.3|SMA
35|336|55|20310414|Kab. Sukoharjo|SMAS KRISTEN KALAM KUDUS SUKOHARJO|Jawa Tengah|538.849|617.225|479.463|408.4|SMA
36|337|9|10261532|Kab. Deli Serdang|SMA UNGGULAN CT FOUNDATION|Sumatera Utara|538.555|612.36|457.198|313.6|SMA
37|338|58|20219241|Kota Bandung|SMAN 12 BANDUNG|Jawa Barat|538.517|642.745|408.683|464.7|SMA
38|339|56|20350718|Kab. Magelang|SMAS IT IHSANUL FIKRI MUNGKID|Jawa Tengah|538.492|629.035|434.045|391.4|SMA
39|340|2|69978966|Kab. Lombok Timur|MAN INSAN CENDEKIA LOMBOK TIMUR|Nusa Tenggara Barat|538.46|602.855|454.823|347.7|MA
40|341|49|20533640|Kota Malang|SMAN 8|Jawa Timur|538.409|649.92|434.513|385.4|SMA
41|342|57|20327564|Kota Magelang|SMAN 3 MAGELANG|Jawa Tengah|538.355|632.67|444.03|399.6|SMA
42|343|10|10263528|Kab. Deli Serdang|SMAS NASIONAL PLUS CINTABUDAYA / CHONG WEN|Sumatera Utara|538.264|647.265|419.56|501.1|SMA
43|344|2|10807561|Kota Metro|SMAN 1 METRO|Lampung|538.139|637.153|441.83|458.2|SMA
44|345|69|69955414|Kota Jakarta Timur|SMA EMIISc Jakarta|DKI Jakarta|538.033|614.258|459.625|406.4|SMA
45|346|58|20328892|Kota Semarang|SMA NEGERI 06|Jawa Tengah|537.663|628.5|440.04|332.9|SMA
46|347|70|20100186|Kota Jakarta Pusat|SMAS KRISTEN 2 BPK PENABUR|DKI Jakarta|537.647|609.723|464.403|410.8|SMA
47|348|31|20401130|Kab. Sleman|SMAN 1 MLATI|DI Yogyakarta|537.4|602.325|466.468|280.4|SMA
48|349|10|10310795|Kab. Pesisir Selatan|SMAN 3 PAINAN|Sumatera Barat|537.371|620.005|449.98|32.|SMA
49|350|59|20318343|Kab. Jepara|SMA NEGERI 1 JEPARA|Jawa Tengah|537.321|625.858|435.993|386.2|SMA
50|351|3|69765089|Kab. Bone|SMAS ISLAM ATHIRAH|Sulawesi Selatan|537.309|610.268|460.768|375.8|SMA
51|352|71|20102216|Kota Jakarta Selatan|SMAN 3 JAKARTA|DKI Jakarta|537.216|622.163|397.043|374.6|SMA
52|353|50|20580089|Kota Malang|MAN 1 KOTA MALANG|Jawa Timur|537.206|646.753|435.005|376.6|MA
53|354|3|30304597|Kota Banjarbaru|SMAN 1 BANJARBARU|Kalimantan Selatan|537.117|642.03|420.948|416.4|SMA
54|355|51|20534389|Kota Kediri|SMAN 1 KEDIRI|Jawa Timur|537.087|640.05|408.22|414.2|SMA
55|356|52|20527233|Kab. Pamekasan|SMAN 1 PAMEKASAN|Jawa Timur|536.994|657.898|427.66|412.9|SMA
56|357|59|20224124|Kota Cimahi|SMA SANTA MARIA 3|Jawa Barat|536.915|623.028|464.33|407.4|SMA
57|358|3|30105074|Kota Pontianak|SMA KATOLIK SANTU PETRUS PONTIANAK|Kalimantan Barat|536.835|628.148|422.083|463.9|SMA
58|359|53|20502727|Kab. Mojokerto|SMAN 1 SOOKO|Jawa Timur|536.732|668.443|378.115|424.2|SMA
59|360|6|10496495|Kota Pekanbaru|SMA DHARMA LOKA|Riau|536.724|644.07|475.413|423.2|SMA
60|361|54|20532087|Kota Surabaya|SMAS SANTA MARIA|Jawa Timur|536.713|621.74|444.145|405.4|SMA
61|362|60|20305025|Kab. Kebumen|SMAN 2 KEBUMEN|Jawa Tengah|536.708|624.388|445.608|339.7|SMA
62|363|61|69929336|Kab. Sragen|SMA SCIENCE PLUS BAITUL QURAN BOARDING SCHOOL|Jawa Tengah|536.694|631.21|428.18|436.3|SMA
63|364|62|20328449|Kota Salatiga|SMAN 3 SALATIGA|Jawa Tengah|536.654|637.128|441.068|353.7|SMA
64|365|63|20331915|Kota Semarang|SMAS THERESIANA 1|Jawa Tengah|536.561|618.695|436.328|434.2|SMA
65|366|7|10498812|Kota Pekanbaru|MAN 2 PEKANBARU|Riau|536.552|643.63|426.375|458.9|MA
66|367|60|20219271|Kota Bandung|SMAN 1 BANDUNG|Jawa Barat|536.447|662.513|419.15|465.7|SMA
67|368|64|20322744|Kab. Batang|SMA NEGERI 1 BATANG|Jawa Tengah|536.326|646.97|420.23|389.1|SMA
68|369|61|20265518|Kota Bandung|SMAS ALFA CENTAURI|Jawa Barat|536.185|620.34|430.665|386.9|SMA
69|370|2|10111885|Kota Banda Aceh|SMA TEUKU NYAK ARIF FATIH BILINGUAL SCHOOL|Aceh|536.042|617.683|451.765|521.9|SMA
70|371|1|40103174|Kota Tomohon|SMAS LOKON ST NIKOLAUS TOMOHON|Sulawesi Utara|536.032|635.698|438.835|487.7|SMA
71|372|55|69859740|Kota Malang|SMA ISLAM SABILILLAH|Jawa Timur|535.926|628.633|408.44|461.4|SMA
72|373|26|20603342|Kota Tangerang Selatan|SMAS ISLAM AL-AZHAR BSD|Banten|535.922|631.105|418.955|458.|SMA
73|374|27|20606814|Kota Tangerang|SMAN 8 TANGERANG|Banten|535.908|655.353|412.938|408.4|SMA
74|375|62|20200681|Kab. Bogor|SMAN 1 CILEUNGSI|Jawa Barat|535.825|653.185|434.908|380.8|SMA
75|376|63|20276416|Kota Bekasi|SMAS LABSCHOOL CIBUBUR|Jawa Barat|535.808|642.99|404.785|426.|SMA
76|377|6|10601344|Kab. Lahat|SMAN 4 LAHAT|Sumatera Selatan|535.79|630.958|433.753|422.6|SMA
77|378|65|20313048|Kab. Sragen|SMAN 1 GEMOLONG|Jawa Tengah|535.717|629.44|445.403|359.3|SMA
78|379|11|69862591|Kab. Solok|SMA N 2 SUMATERA BARAT|Sumatera Barat|535.591|648.81|453.083|380.6|SMA
79|380|28|20603371|Kota Tangerang Selatan|SMAS PLUS PEMBANGUNAN JAYA|Banten|535.591|622.683|417.425|439.2|SMA
80|381|7|10603858|Kota Palembang|SMA NEGERI 17 PALEMBANG|Sumatera Selatan|535.587|651.245|420.293|484.1|SMA
81|382|64|20253130|Kab. Bekasi|SMAS IT AL BINA|Jawa Barat|535.5|631.205|394.41|457.8|SMA
82|383|66|20306176|Kab. Purworejo|SMAN 2 PURWOREJO|Jawa Tengah|535.488|621.968|413.685|314.7|SMA
83|384|56|20511011|Kab. Pacitan|SMAN 1 PACITAN|Jawa Timur|535.485|621.37|438.575|342.9|SMA
84|385|3|10807024|Kota Bandar Lampung|SMA S AL KAUTSAR|Lampung|535.422|633.578|433.045|390.8|SMA
85|386|67|20328913|Kota Semarang|SMA SEDES SAPIENTIAE|Jawa Tengah|535.394|630.285|436.76|421.4|SMA
86|387|72|P2965978|Kota Jakarta Pusat|PKBM Windsor|DKI Jakarta|535.337|616.705|459.64|388.4|PKBM
87|388|65|20219784|Kota Bandung|SMAS PELITA BANGSA|Jawa Barat|535.307|620.815|480.17|411.1|SMA
88|389|66|20219265|Kota Bandung|SMAS ST MARIA 1 BANDUNG|Jawa Barat|535.258|631.283|432.525|395.7|SMA
89|390|67|20277214|Kab. Kuningan|MAS HUSNUL KHOTIMAH|Jawa Barat|535.167|658.685|427.605|406.2|MA
90|391|57|20509318|Kab. Magetan|SMAN 1 MAGETAN|Jawa Timur|535.096|632.468|425.618|386.|SMA
91|392|68|20200885|Kab. Bogor|SMAN 1 CIBINONG|Jawa Barat|535.072|648.755|440.038|375.4|SMA
92|393|32|20363283|Kota Yogyakarta|MAS MUALLIMAAT MUHAMMADIYAH|DI Yogyakarta|535.038|644.508|442.703|397.7|MA
